prompt,label
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Yardley By Yardley Of London Unisexs Lay It On Thick Hand &amp; Foot Cream 5.3 Oz"",
        ""brand"": ""Yardley""
    },
    {
        ""title"": ""Fruits &amp; Passion Blue Refreshing Shower Gel - 6.7 fl. oz."",
        ""brand"": ""Fruits & Passion""
    },
    {
        ""title"": ""Bonne Bell Smackers Bath and Body Starburst Collection"",
        ""brand"": ""Bonne Bell""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bumble and Bumble Hairdresser's Invisible Oil, 3.4 Ounce"",
        ""brand"": ""Bumble and Bumble""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.",Bath & Body Works
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Yardley By Yardley Of London Unisexs Lay It On Thick Hand &amp; Foot Cream 5.3 Oz"",
        ""brand"": ""Yardley""
    },
    {
        ""title"": ""Fruits &amp; Passion Blue Refreshing Shower Gel - 6.7 fl. oz."",
        ""brand"": ""Fruits & Passion""
    },
    {
        ""title"": ""Bonne Bell Smackers Bath and Body Starburst Collection"",
        ""brand"": ""Bonne Bell""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.",Bath & Body Works
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""essie nail polish, cuticle care, primers and finishers"",
        ""brand"": """"
    },
    {
        ""title"": ""essie nail polish, cuticle care, primers and finishers"",
        ""brand"": """"
    },
    {
        ""title"": ""Pre de Provence Maison French Dried Lavender Blossoms for Fragrance"",
        ""brand"": ""Pre de Provence""
    },
    {
        ""title"": ""Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry"",
        ""brand"": ""Pre de Provence""
    },
    {
        ""title"": ""Pre De Provence Maison French Lavender Bath &amp; Shower Gel"",
        ""brand"": ""Pre de Provence""
    },
    {
        ""title"": ""Utopia Care Stainless Steel Fingernail Clipper"",
        ""brand"": """"
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.",Pre de Provence
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Citre Shine Moisture Burst Shampoo - 16 fl oz"",
        ""brand"": ""Citre Shine""
    },
    {
        ""title"": ""Citre Shine Moisture Burst Shampoo - 16 fl oz"",
        ""brand"": ""Citre Shine""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Avalon Grapefruit and Geranium Smoothing Shampoo, 11 Ounce"",
        ""brand"": ""Avalon""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.","Citre Shine,Bath & Body Works"
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Yardley By Yardley Of London Unisexs Lay It On Thick Hand &amp; Foot Cream 5.3 Oz"",
        ""brand"": ""Yardley""
    },
    {
        ""title"": ""Fruits &amp; Passion Blue Refreshing Shower Gel - 6.7 fl. oz."",
        ""brand"": ""Fruits & Passion""
    },
    {
        ""title"": ""Bonne Bell Smackers Bath and Body Starburst Collection"",
        ""brand"": ""Bonne Bell""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.",Bath & Body Works
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Aqua Velva After Shave, Classic Ice Blue, 7 Ounce"",
        ""brand"": ""Aqua Velva""
    },
    {
        ""title"": ""Aqua Velva After Shave, Classic Ice Blue, 7 Ounce"",
        ""brand"": ""Aqua Velva""
    },
    {
        ""title"": ""Africas Best Ultimate Herbal Oil 8 Ounce (235ml)"",
        ""brand"": ""Africa's Best""
    },
    {
        ""title"": ""Aqua Velva After Shave, Classic Ice Blue, 3.5 Ounce"",
        ""brand"": ""Aqua Velva""
    },
    {
        ""title"": ""Clubman Lustray Blue Spice After Shave, 128 Fluid Ounce"",
        ""brand"": ""Clubman""
    },
    {
        ""title"": ""Clubman Lustray Blue Spice After Shave, 128 Fluid Ounce"",
        ""brand"": ""Clubman""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.","Aqua Velva,Clubman"
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary)"",
        ""brand"": ""Braun""
    },
    {
        ""title"": ""Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary)"",
        ""brand"": ""Braun""
    },
    {
        ""title"": ""Pre de Provence Maison French Dried Lavender Blossoms for Fragrance"",
        ""brand"": ""Pre de Provence""
    },
    {
        ""title"": ""Philips Norelco QC5055 Power Hair Clipper"",
        ""brand"": ""Philips Norelco""
    },
    {
        ""title"": ""Toni&amp;Guy Glamour Volume Plumping Whip, 2.82 Fluid Ounce"",
        ""brand"": ""TNGY HAIR""
    },
    {
        ""title"": ""Fekkai Full Blown Aerosol Foam Cond Us 6.6 Oz, 6.660-Fluid Ounce"",
        ""brand"": ""Fekkai""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.",Braun
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Citre Shine Moisture Burst Shampoo - 16 fl oz"",
        ""brand"": ""Citre Shine""
    },
    {
        ""title"": ""Citre Shine Moisture Burst Shampoo - 16 fl oz"",
        ""brand"": ""Citre Shine""
    },
    {
        ""title"": ""Bonne Bell Smackers Bath and Body Starburst Collection"",
        ""brand"": ""Bonne Bell""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Avalon Grapefruit and Geranium Smoothing Shampoo, 11 Ounce"",
        ""brand"": ""Avalon""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.","Citre Shine,Bath & Body Works"
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Citre Shine Moisture Burst Shampoo - 16 fl oz"",
        ""brand"": ""Citre Shine""
    },
    {
        ""title"": ""Citre Shine Moisture Burst Shampoo - 16 fl oz"",
        ""brand"": ""Citre Shine""
    },
    {
        ""title"": ""Bonne Bell Smackers Bath and Body Starburst Collection"",
        ""brand"": ""Bonne Bell""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Avalon Grapefruit and Geranium Smoothing Shampoo, 11 Ounce"",
        ""brand"": ""Avalon""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.","Citre Shine,Bath & Body Works"
"I've purchased the following products in the past(in JSON format):

[
    {
        ""title"": ""Yardley By Yardley Of London Unisexs Lay It On Thick Hand &amp; Foot Cream 5.3 Oz"",
        ""brand"": ""Yardley""
    },
    {
        ""title"": ""Fruits &amp; Passion Blue Refreshing Shower Gel - 6.7 fl. oz."",
        ""brand"": ""Fruits & Passion""
    },
    {
        ""title"": ""Bonne Bell Smackers Bath and Body Starburst Collection"",
        ""brand"": ""Bonne Bell""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    },
    {
        ""title"": ""Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz"",
        ""brand"": ""Bath & Body Works""
    }
]

Based on above purchased history, please predict what brands I like. You just need to list one or two most like brand names, do not explain the reason.If I like two brands, please separate these two brand names with comma.",Bath & Body Works
